site1,site2,site1_targets,site2_targets,intersects,intersects_site1_share,intersects_site2_share,share_product
hybridpedagogy,hybridpedagogy,15,15,15,1,1,1
hybridpedagogy,rt.com,15,190,8,0.5333333333333333,0.042105263157894736,0.02245614035087719
hybridpedagogy,themattwalshblog.com,15,182,12,0.8,0.06593406593406594,0.052747252747252754
hybridpedagogy,twitter.com,15,6,3,0.2,0.5,0.1
rt.com,hybridpedagogy,190,15,8,0.042105263157894736,0.5333333333333333,0.02245614035087719
rt.com,rt.com,190,190,190,1,1,1
rt.com,themattwalshblog.com,190,182,100,0.5263157894736842,0.5494505494505495,0.2891844997108155
rt.com,twitter.com,190,6,4,0.021052631578947368,0.6666666666666666,0.014035087719298244
themattwalshblog.com,hybridpedagogy,182,15,12,0.06593406593406594,0.8,0.052747252747252754
themattwalshblog.com,rt.com,182,190,100,0.5494505494505495,0.5263157894736842,0.2891844997108155
themattwalshblog.com,themattwalshblog.com,182,182,182,1,1,1
themattwalshblog.com,twitter.com,182,6,3,0.016483516483516484,0.5,0.008241758241758242
twitter.com,hybridpedagogy,6,15,3,0.5,0.2,0.1
twitter.com,rt.com,6,190,4,0.6666666666666666,0.021052631578947368,0.014035087719298244
twitter.com,themattwalshblog.com,6,182,3,0.5,0.016483516483516484,0.008241758241758242
twitter.com,twitter.com,6,6,6,1,1,1
