root_domain,count
advertising.com,259
vertamedia.com,152
springserve.com,149
twimg.com,144
btrll.com,89
streamrail.net,80
doubleclick.net,77
googlesyndication.com,70
taboola.com,65
rt.com,63
netdna-cdn.com,62
digitalpedagogylab.com,55
lkqd.net,54
fbcdn.net,48
spot.im,48
streamrail.com,47
pubmatic.com,45
gstatic.com,44
crwdcntrl.net,40
rockyou.com,40
rlcdn.com,34
adnxs.com,33
twitter.com,33
optimatic.com,31
google-analytics.com,28
google.com,28
mathtag.com,28
bidswitch.net,27
openx.net,27
lijit.com,26
quantserve.com,25
adsafeprotected.com,22
facebook.com,22
youtube.com,22
adhigh.net,21
adverserve.net,19
angsrvr.com,19
wp.com,19
bluekai.com,18
googleapis.com,18
semasio.net,18
unoadsrv.com,18
adsrvr.org,17
casalemedia.com,17
contextweb.com,17
disquscdn.com,17
mozilla.net,17
tidaltv.com,17
tremorhub.com,17
bfmio.com,16
cmbestsrv.com,16
moatads.com,16
everesttech.net,15
fanbread.com,15
lockerdome.com,15
spotxchange.com,15
adsymptotic.com,14
innovid.com,14
optvdo.com,14
scorecardresearch.com,14
adap.tv,13
agkn.com,13
alephd.com,13
mozilla.org,13
addthis.com,12
altitude-arena.com,12
demdex.net,12
komoona.com,12
smartadserver.com,12
yahoo.com,12
4dsply.com,11
bidr.io,11
exelator.com,11
tubemogul.com,11
turn.com,11
adforgeinc.com,10
adform.net,9
adtechus.com,9
criteo.com,9
disqus.com,9
perfectmarket.com,9
revsci.net,9
rfihub.com,9
vmweb.net,9
1rx.io,8
dotomi.com,8
fyber.com,8
gwallet.com,8
multiverse.cm,8
themattwalshblog.com,8
yandex.ru,8
adgrx.com,7
cloudfront.net,7
dyntrk.com,7
knightlab.com,7
nexac.com,7
revcontent.com,7
simpli.fi,7
stickyadstv.com,7
tapad.com,7
vj-vid.com,7
altitudeplatform.com,6
atemda.com,6
connexity.net,6
jwpcdn.com,6
owneriq.net,6
rubiconproject.com,6
sitescout.com,6
ytimg.com,6
adentifi.com,5
bzgint.com,5
eyeviewads.com,5
gosquared.com,5
imrworldwide.com,5
sonobi.com,5
tribalfusion.com,5
truste.com,5
videe.tv,5
yabidos.com,5
2mdn.net,4
adition.com,4
almongkingstory.com,4
amazonaws.com,4
avocet.io,4
cignalio.com,4
clrstm.com,4
exe.bid,4
genesismediaus.com,4
gravatar.com,4
korrelate.net,4
krxd.net,4
media6degrees.com,4
mxptint.net,4
tns-counter.ru,4
topsrvimp.com,4
videojam.tv,4
visualdna.com,4
w55c.net,4
206ads.com,3
adscale.de,3
afy11.net,3
basebanner.com,3
bidtheatre.com,3
c1exchange.com,3
convertro.com,3
epiphanyai.com,3
facebook.net,3
googletagservices.com,3
liadm.com,3
mail.ru,3
pinterest.com,3
pippio.com,3
smartclip.net,3
spotxcdn.com,3
unocdn.com,3
videologygroup.com,3
yadro.ru,3
254a.com,2
360yield.com,2
3lift.com,2
acuityplatform.com,2
adbrn.com,2
addthisedge.com,2
adforgecdn.com,2
adotmob.com,2
akamaihd.net,2
anyclip-media.com,2
areyouahuman.com,2
bnmla.com,2
company-target.com,2
creative-serving.com,2
deliverimp.com,2
domdex.com,2
eyeota.net,2
eyereturn.com,2
fqtag.com,2
hiberniacdn.com,2
iasds01.com,2
iponweb.net,2
leaguestyle.com,2
media.net,2
mediator.media,2
ml314.com,2
mookie1.com,2
netmng.com,2
netseer.com,2
nexage.com,2
nuviad.com,2
onesignal.com,2
opendsp.com,2
pingdom.net,2
powerlinks.com,2
pro-market.net,2
quantcount.com,2
rhythmxchange.com,2
rundsp.com,2
skimresources.com,2
spots.im,2
tekblue.net,2
tru.am,2
userreport.com,2
videostat.com,2
vxvid.com,2
wtp101.com,2
193.98,1
adcloudiq.com,1
adingo.jp,1
adiply.com,1
admaym.com,1
adroll.com,1
adsupplyssl.com,1
adtech.de,1
akamai.com,1
appier.net,1
apxlv.com,1
beachfrontmedia.com,1
bilinmedia.net,1
bing.com,1
bonadza.com,1
brealtime.com,1
cint.com,1
clickcertain.com,1
cloudflare.com,1
conservativereview.com,1
cpx.to,1
cynogage.com,1
dmca.com,1
dsp.io,1
eqads.com,1
extend.tv,1
ffbtas.com,1
glotgrx.com,1
googleusercontent.com,1
groupon.com,1
gssprt.jp,1
gumgum.com,1
hbd-cm.com,1
ib-ibi.com,1
imgsmail.ru,1
impdesk.com,1
insightexpressai.com,1
ipredictive.com,1
jwpltx.com,1
lastpass.com,1
legolas-media.com,1
linksynergy.com,1
marphezis.com,1
mathads.com,1
metanetwork.net,1
mythings.com,1
narrative.io,1
newrelic.com,1
nr-data.net,1
optmd.com,1
outbrain.com,1
parrable.com,1
postrelease.com,1
realtimeopt.com,1
reddit.com,1
reson8.com,1
rkdms.com,1
rollmob.exchange,1
sascdn.com,1
scanscout.com,1
snappytv.com,1
sojern.com,1
switchads.com,1
teads.tv,1
tellapart.com,1
truoptik.com,1
univide.com,1
veruta.com,1
videohub.tv,1
visiblemeasures.com,1
wayfair.com,1
yashi.com,1
zedo.com,1
