source,root_domain,protocol,count
twitter.com,twimg.com,https,131
rt.com,vertamedia.com,https,120
rt.com,advertising.com,https,116
rt.com,advertising.com,http,108
rt.com,springserve.com,https,89
rt.com,streamrail.net,https,67
rt.com,taboola.com,https,65
rt.com,rt.com,https,63
themattwalshblog.com,netdna-cdn.com,http,62
rt.com,btrll.com,http,60
hybridpedagogy,digitalpedagogylab.com,http,55
rt.com,spot.im,https,48
rt.com,googlesyndication.com,https,42
rt.com,springserve.com,http,41
themattwalshblog.com,rockyou.com,https,40
rt.com,doubleclick.net,https,38
rt.com,lkqd.net,https,36
rt.com,streamrail.com,https,36
themattwalshblog.com,fbcdn.net,https,34
themattwalshblog.com,doubleclick.net,https,28
themattwalshblog.com,crwdcntrl.net,http,27
themattwalshblog.com,google.com,https,22
themattwalshblog.com,pubmatic.com,http,22
themattwalshblog.com,googlesyndication.com,https,21
themattwalshblog.com,rlcdn.com,https,21
rt.com,openx.net,https,20
rt.com,adhigh.net,https,19
themattwalshblog.com,adverserve.net,https,19
themattwalshblog.com,springserve.com,http,19
rt.com,btrll.com,https,18
rt.com,optimatic.com,https,18
themattwalshblog.com,advertising.com,https,18
rt.com,adnxs.com,https,17
rt.com,pubmatic.com,https,17
themattwalshblog.com,advertising.com,http,17
themattwalshblog.com,disquscdn.com,https,17
themattwalshblog.com,vertamedia.com,https,17
twitter.com,twitter.com,https,17
rt.com,cmbestsrv.com,https,16
hybridpedagogy,wp.com,https,15
rt.com,bidswitch.net,https,15
rt.com,lijit.com,https,15
rt.com,mozilla.net,https,15
rt.com,youtube.com,https,15
hybridpedagogy,fbcdn.net,https,14
rt.com,gstatic.com,https,14
rt.com,innovid.com,https,14
rt.com,optvdo.com,https,14
rt.com,unoadsrv.com,https,14
themattwalshblog.com,fanbread.com,https,14
themattwalshblog.com,lockerdome.com,https,14
rt.com,alephd.com,https,13
rt.com,casalemedia.com,https,13
rt.com,lkqd.net,http,13
rt.com,twimg.com,https,13
themattwalshblog.com,mathtag.com,http,13
themattwalshblog.com,moatads.com,https,13
themattwalshblog.com,semasio.net,http,13
themattwalshblog.com,streamrail.net,https,13
hybridpedagogy,gstatic.com,http,12
themattwalshblog.com,facebook.com,https,12
themattwalshblog.com,google-analytics.com,https,12
themattwalshblog.com,komoona.com,http,12
rt.com,mathtag.com,https,11
themattwalshblog.com,4dsply.com,http,11
themattwalshblog.com,quantserve.com,http,11
themattwalshblog.com,streamrail.com,https,11
rt.com,altitude-arena.com,http,10
rt.com,angsrvr.com,https,10
rt.com,bfmio.com,http,10
rt.com,vertamedia.com,http,10
rt.com,everesttech.net,https,9
rt.com,mozilla.org,https,9
rt.com,perfectmarket.com,https,9
rt.com,rlcdn.com,https,9
rt.com,smartadserver.com,https,9
rt.com,tremorhub.com,http,9
themattwalshblog.com,adnxs.com,http,9
themattwalshblog.com,adsafeprotected.com,https,9
themattwalshblog.com,gstatic.com,http,9
themattwalshblog.com,gstatic.com,https,9
themattwalshblog.com,vmweb.net,https,9
rt.com,addthis.com,https,8
rt.com,adforgeinc.com,https,8
rt.com,adtechus.com,https,8
rt.com,angsrvr.com,http,8
rt.com,bluekai.com,https,8
rt.com,google-analytics.com,https,8
rt.com,lijit.com,http,8
rt.com,quantserve.com,https,8
rt.com,spotxchange.com,https,8
rt.com,tremorhub.com,https,8
rt.com,yandex.ru,https,8
themattwalshblog.com,disqus.com,https,8
themattwalshblog.com,themattwalshblog.com,http,8
hybridpedagogy,facebook.com,https,7
hybridpedagogy,knightlab.com,http,7
rt.com,adap.tv,https,7
rt.com,adsafeprotected.com,http,7
rt.com,adsrvr.org,https,7
rt.com,crwdcntrl.net,https,7
rt.com,optimatic.com,http,7
rt.com,tidaltv.com,http,7
rt.com,tidaltv.com,https,7
rt.com,turn.com,https,7
themattwalshblog.com,criteo.com,http,7
themattwalshblog.com,googlesyndication.com,http,7
themattwalshblog.com,revcontent.com,http,7
themattwalshblog.com,youtube.com,https,7
hybridpedagogy,google-analytics.com,http,6
rt.com,adsafeprotected.com,https,6
rt.com,atemda.com,https,6
rt.com,contextweb.com,http,6
rt.com,contextweb.com,https,6
rt.com,jwpcdn.com,https,6
rt.com,revsci.net,https,6
rt.com,rfihub.com,https,6
rt.com,scorecardresearch.com,https,6
rt.com,simpli.fi,https,6
rt.com,tubemogul.com,https,6
rt.com,twitter.com,https,6
rt.com,vj-vid.com,https,6
themattwalshblog.com,adsrvr.org,http,6
themattwalshblog.com,agkn.com,http,6
themattwalshblog.com,bidswitch.net,http,6
themattwalshblog.com,bluekai.com,http,6
themattwalshblog.com,btrll.com,http,6
themattwalshblog.com,scorecardresearch.com,http,6
hybridpedagogy,googleapis.com,http,5
hybridpedagogy,gosquared.com,http,5
rt.com,agkn.com,https,5
rt.com,altitudeplatform.com,http,5
rt.com,bidr.io,http,5
rt.com,bidswitch.net,http,5
rt.com,bzgint.com,https,5
rt.com,demdex.net,https,5
rt.com,exelator.com,https,5
rt.com,google.com,https,5
rt.com,googleapis.com,https,5
rt.com,gwallet.com,https,5
rt.com,spotxchange.com,http,5
rt.com,videe.tv,https,5
rt.com,yabidos.com,https,5
rt.com,yahoo.com,https,5
themattwalshblog.com,adsymptotic.com,https,5
themattwalshblog.com,btrll.com,https,5
themattwalshblog.com,contextweb.com,http,5
themattwalshblog.com,crwdcntrl.net,https,5
themattwalshblog.com,doubleclick.net,http,5
themattwalshblog.com,googleapis.com,https,5
themattwalshblog.com,sonobi.com,http,5
themattwalshblog.com,vertamedia.com,http,5
rt.com,1rx.io,https,4
rt.com,adap.tv,http,4
rt.com,adform.net,http,4
rt.com,adgrx.com,https,4
rt.com,adsrvr.org,http,4
rt.com,adsymptotic.com,http,4
rt.com,adsymptotic.com,https,4
rt.com,almongkingstory.com,https,4
rt.com,cignalio.com,https,4
rt.com,dotomi.com,https,4
rt.com,dyntrk.com,http,4
rt.com,fyber.com,https,4
rt.com,genesismediaus.com,https,4
rt.com,imrworldwide.com,http,4
rt.com,multiverse.cm,http,4
rt.com,owneriq.net,https,4
rt.com,stickyadstv.com,http,4
rt.com,tapad.com,https,4
rt.com,tns-counter.ru,https,4
rt.com,topsrvimp.com,https,4
rt.com,ytimg.com,https,4
themattwalshblog.com,adnxs.com,https,4
themattwalshblog.com,bidr.io,http,4
themattwalshblog.com,bluekai.com,https,4
themattwalshblog.com,demdex.net,http,4
themattwalshblog.com,everesttech.net,http,4
themattwalshblog.com,multiverse.cm,http,4
themattwalshblog.com,truste.com,http,4
themattwalshblog.com,turn.com,http,4
themattwalshblog.com,unoadsrv.com,https,4
themattwalshblog.com,yahoo.com,http,4
hybridpedagogy,gravatar.com,http,3
rt.com,2mdn.net,https,3
rt.com,adentifi.com,https,3
rt.com,adform.net,https,3
rt.com,adnxs.com,http,3
rt.com,bfmio.com,https,3
rt.com,cloudfront.net,https,3
rt.com,dyntrk.com,https,3
rt.com,epiphanyai.com,https,3
rt.com,eyeviewads.com,http,3
rt.com,fyber.com,http,3
rt.com,mail.ru,https,3
rt.com,openx.net,http,3
rt.com,pubmatic.com,http,3
rt.com,quantserve.com,http,3
rt.com,rubiconproject.com,https,3
rt.com,semasio.net,https,3
rt.com,sitescout.com,https,3
rt.com,stickyadstv.com,https,3
rt.com,tribalfusion.com,https,3
rt.com,tubemogul.com,http,3
rt.com,videologygroup.com,https,3
rt.com,yadro.ru,https,3
themattwalshblog.com,206ads.com,http,3
themattwalshblog.com,adgrx.com,http,3
themattwalshblog.com,adition.com,https,3
themattwalshblog.com,adscale.de,http,3
themattwalshblog.com,bfmio.com,http,3
themattwalshblog.com,c1exchange.com,https,3
themattwalshblog.com,casalemedia.com,http,3
themattwalshblog.com,connexity.net,http,3
themattwalshblog.com,demdex.net,https,3
themattwalshblog.com,exelator.com,https,3
themattwalshblog.com,googleapis.com,http,3
themattwalshblog.com,gwallet.com,http,3
themattwalshblog.com,liadm.com,https,3
themattwalshblog.com,lijit.com,http,3
themattwalshblog.com,lkqd.net,http,3
themattwalshblog.com,mathtag.com,https,3
themattwalshblog.com,moatads.com,http,3
themattwalshblog.com,nexac.com,http,3
themattwalshblog.com,openx.net,http,3
themattwalshblog.com,optimatic.com,http,3
themattwalshblog.com,optimatic.com,https,3
themattwalshblog.com,pinterest.com,https,3
themattwalshblog.com,pippio.com,https,3
themattwalshblog.com,pubmatic.com,https,3
themattwalshblog.com,quantserve.com,https,3
themattwalshblog.com,rlcdn.com,http,3
themattwalshblog.com,rubiconproject.com,http,3
themattwalshblog.com,smartclip.net,http,3
themattwalshblog.com,tapad.com,http,3
themattwalshblog.com,tidaltv.com,http,3
themattwalshblog.com,twitter.com,https,3
themattwalshblog.com,wp.com,http,3
twitter.com,doubleclick.net,https,3
hybridpedagogy,twitter.com,http,2
hybridpedagogy,twitter.com,https,2
rt.com,1rx.io,http,2
rt.com,254a.com,https,2
rt.com,3lift.com,https,2
rt.com,addthis.com,http,2
rt.com,addthisedge.com,https,2
rt.com,adforgecdn.com,https,2
rt.com,adforgeinc.com,http,2
rt.com,adotmob.com,https,2
rt.com,altitude-arena.com,https,2
rt.com,amazonaws.com,https,2
rt.com,anyclip-media.com,https,2
rt.com,avocet.io,http,2
rt.com,basebanner.com,https,2
